1,sphere,93.801,-75.259,268.316,30.970,-2.181,39.053,5.000,0.000,0.000,
2,cone,99.688,-71.126,269.352,8.834,-5.404,33.309,10.000,5.000,0.000,
3,cylinder,107.070,-66.143,268.776,0.389,-2.993,17.834,10.000,5.000,5.000,
4,cube,115.966,-62.611,269.209,1.500,-3.100,22.935,10.000,0.000,0.000,
